LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Gravimetric Plugs,,,TOTAL,
,,,,,,1/2/17 (17341^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,J1,=1*2/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 1 SET OF 2,(6 2),1.13,=C5*I5,SHLD
2,J2 J4,=2*6/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 1 SET OF 6,(6 2),1.13,=C6*I6,SHLD
3,J3 J8,=2*3/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 2 SET OF 3,(6 2),1.13,=C7*I7,SHLD
4,J5 J6,=1*5/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 1 SET OF 5,(6 2),1.13,=C8*I8,SHLD
5,,1,J-HDR3.5mm,PT1.5/2-PVH-3.5,PHOENIX CONTACT@1984015,CONN PLUG STRIP 3.5MM 2POS 1 SET OF 2POS,(2),0.42,=C9*I9,SHLD
6,,2,J-HDR3.5mm,PT1.5/3-PVH-3.5,PHOENIX CONTACT@1984028,CONN PLUG STRIP 3.5MM 2POS 1 SET OF 3POS,(2),0.60,=C10*I10,SHLD
7,,2,J-HDR3.5mm,PT1.5/5-PVH-3.5,PHOENIX CONTACT@1984015+1984028,CONN PLUG STRIP 3.5MM 1 SET OF 2POS+3POS,(2),=0.42+0.60,=C11*I11,SHLD
8,,2,J-HDR3.5mm,PT1.5/6-PVH-3.5,PHOENIX CONTACT@1984028+1984028,CONN PLUG STRIP 3.5MM 1 SET OF 3POS+3POS,(2),=0.60+0.60,=C12*I12,SHLD
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) for x in (2 4 6 8): PST 1.0/x-3.5 mates with PT 1.5/x-PVH-3.5,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,
,,,,,,(6) Cut 16 pin to needed size,,,,
