LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Gravimetric SMD,,,TOTAL,
,,,,,,8/31/19 (17341^2),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1,1,C-C,1206X5R50V106K,TDK@C3216X5R1H106K160AB,CAP CER 10UF 50V 10% X5R 1206,(1),.3575,=C5*I5,CC01
2,C2 C4 C7 C10 C12 C14 C15 C17 C102 C103 C105 C106 C109 C112 C113 C201 C202 C203 C204 C205 C206 C207 C208,23,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,C3 C9 C101 C104 C107 C108 C110 C111,8,C-C,0603X7R50V103K,MURATA@GRM188R71H103KA01J,CAP CER 10000PF 50V 10% X7R 0603,(1),0.007,=C7*I7,HT
4,C5 C11,2,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.136,=C8*I8,CC01
5,C6 C8,2,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C9*I9,ADPT
6,C13 C16 C209 C210,4,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0067,=C10*I10,RPUNO
8,D3 D201,2,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C11*I11,CC01
9,L1,1,L-FB,MH2029-300Y,BORNS@MH2029-300Y,FERRITE SMDBEAD 30OHM@100MHZ 3A 0805,(1),0.0301,=C12*I12,FTDI
10,Q1 Q3,2,Q-PCH,IRFR5305,INFINEON@IRFR5305TRPBF,MOSFET P-CH 31A 55V DPAK,(1),0.8780,=C13*I13,GRAVIMETRIC
11,Q2 Q6 Q106 Q109 Q110 Q111 Q112 Q113 Q114 Q115 Q121 Q125 Q129 Q130 Q131 Q135 Q136 Q140 Q141 Q142 Q146 Q148 Q149 Q150 Q151 Q201 Q202 Q203,28,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C14*I14,IRRIGATE7
12,Q4 Q8,2,Q-PCH,P65,DIODES@DMP4065S-7,MOSFET P-CH 2.4A 40V SOT23,(1),0.2196,=C15*I15,PUNICA
13,Q5 Q7 Q101 Q102 Q103 Q104 Q107 Q108 Q116 Q117 Q119 Q120 Q123 Q124 Q127 Q128 Q133 Q134 Q138 Q139 Q145 Q147,22,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0204,=C16*I16,HT
14,Q9 Q10 Q11 Q105 Q118 Q122 Q126 Q132 Q137 Q143 Q144 Q152 Q153,13,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.1132,=C17*I17,ADPT
15,R1 R6,2,R-C,0805FX1003,YAGEO@RT0805BRD07100KL,RESISTOR CHIP 0.1% 100KOHM 0805,(1),0.1277,=C18*I18,LUX
16,R2 R11 R16 R107 R114 R126 R130 R148 R153 R163 R215 R224 R234,13,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C19*I19,IRRIGATE7
18,R3,1,R-C,0805KX0R018,SUSUMU@KRL1220E-M-R018-F-T5,RESISTOR CHIP 1% 0R018OHM 0805,(7),0.2531,=C20*I20,GRAVIMETRIC
22,R4 R9 R10 R13 R14 R17 R103 R106 R109 R113 R115 R117 R120 R121 R124 R125 R128 R129 R133 R134 R137 R146 R147 R151 R152 R157 R201 R202 R206 R207 R208 R210 R214 R222 R223 R227 R228 R238 R240,39,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C21*I21,ADPT
19,R5,1,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C22*I22,HT
20,R7,1,R-C,0805KX1582,YAGEO@RC0805FR-0715K8L,RESISTOR CHIP 1% 15K8OHM 0805,(1),0.0064,=C23*I23,IRRIGATE7
21,R8,1,R-C,0805KX0R068,SAMSUNG@RU2012FR068CS,RESISTOR CHIP 1% 0R068OHM 0805,(7),0.2531,=C24*I24,CC03
23,R12,1,R-C,0805KX8062,YAGEO@RC0805FR-0780K6L,RESISTOR CHIP 1% 80K6OHM 0805,(1),0.0064,=C25*I25,CC01
17,R15 R102 R105 R112 R132 R136 R139 R142 R156 R159 R160,11,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C26*I26,IRRIGATE7
24,R101 R104 R111,3,R-C,0805KX32R4,YAGEO@RC0805FR-0732R4L,RESISTOR CHIP 1% 32R4OHM 0805,(1),0.0064,=C27*I27,RPUNO
25,R108 R110 R116 R118 R122 R211 R219 R220 R229 R230 R235,11,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C28*I28,IRRIGATE7
26,R119 R123 R127,3,R-C,0805KX100R,YAGEO@RC0805FR-07100RL,RESISTOR CHIP 1% 100ROHM 0805,(7),0.0025,=C29*I29,ADPT
27,R131 R135 R140 R143 R145 R150 R158,7,R-C,0805KX27R0,YAGEO@RC0805FR-0727R0L,RESISTOR CHIP 1% 27R0OHM 0805,(1),0.0064,=C30*I30,FTDI
28,R138 R141 R144 R149 R154 R155 R161 R162,8,R-C,0805KX127R,YAGEO@RC0805FR-07127RL,RESISTOR CHIP 1% 127OHM 0805,(1),0.0025,=C31*I31,PUNICA
29,R203 R216 R226 R237 R239,5,R-C,0805KX1821,YAGEO@RC0805FR-071K82L,RESISTOR CHIP 1% 1K82OHM 0805,(7),0.0025,=C32*I32,RPUPI
30,R204 R205 R209 R212 R213 R217 R218 R221 R225 R231 R232 R233 R236,13,R-C,0805KX3011,YAGEO@RC0805FR-073K01L,RESISTOR CHIP 1% 3K01OHM 0805,(7),0.0025,=C33*I33,ADPT
31,U1 U2,2,U-LINEAR,1087,DIODES@ZXCT1086E5TA,HISIDE CURRENT MONITOR SOT23-5,(1),1.0661,=C34*I34,CCTEST
32,U5,1,U-AVR,MEGA324PB,ATMEL@ATMEGA324PB-AU,MCU AVR8 32KB FLASH 20MHZ 32TQFP,(),1.734,=C35*I35,GRAVIMETRIC
33,U101 U102,2,U-TIME,ICM7555,INTERSIL@ICM7555IBAZ-T,TIMER 555 8SOIC,(),0.6068,=C36*I36,HT
34,U201 U202,2,U-7400,74LVC07A,DIODES@74LVC07AS14-13,LOGIC BUFFER OPEN DRAIN 14SOIC,(1),0.1978,=C37*I37,ADPT
35,U203 U204 U205,3,U-TRANSCEIVER,THVD1500,TI@THVD1500DR,TRANSCEIVER RS485 5V HALFDPLX 8SOIC,(1),1.2567,=C38*I38,RPUPI
36,U206,1,U-AVR,ATMEGA328PB,ATMEL@ATMEGA328PB-AU,MCU AVR8 32KB FLASH 20MHZ 32TQFP,(1),1.2668,=C39*I39,ADPT
37,Y1,1,Y-XTL,16MHZ20,ECS@ECS-160-20-3X-TR,CRYSTAL 16MHZ 20PF 30PPM  CSM-3X,(1),0.315,=C40*I40,RPUNO
38,Y201,1,Y-XTL,12MHZ20,ECS@ECS-120-20-3X-TR,CRYSTAL 12MHZ 20PF 30PPM  CSM-3X,(1),0.2846,=C41*I41,ADPT
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
