LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Gravimetric TCXO SMD,,,TOTAL,
,,,,,,3/22/19 (17341^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,C18,0,C-C,0603NPO50V471J,MURATA@GRM1885C1H471JA01D,CAP CER 470PF 50V 5% NPO 0603,(1),0.0202,=C5*I5,ADPT
2,C19,0,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C6*I6,ADPT
3,C20,0,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C7*I7,ADPT

,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
